,close,open,low,high,volume
2013-11-24,792.51,843.5,747.0,874.81,24098.8458386
2013-11-25,819.0,792.51,761.0,842.78,12804.23749552
2013-11-26,834.45,819.2,770.1,838.2,26003.24017528
2013-11-27,924.83,833.98,801.0,924.83,28855.91769948
2013-11-28,957.5,924.83,884.11,974.0,30788.57122277
2013-11-29,1022.0,957.5,950.62,1050.18,37162.17368157001
2013-11-30,1138.98,1023.23,1013.97,1163.0,20768.06711657
2013-12-01,1081.0,1138.98,988.12,1155.2,18411.23072757
2013-12-02,1048.93,1089.98,795.6,1089.99,58523.84033355
2013-12-03,1022.09,1048.01,925.16,1057.0,27655.75664629
2013-12-04,1064.46,1022.08,1015.01,1088.0,11147.84896413
2013-12-05,1130.28,1064.46,1056.5,1153.27,14747.661512819996
2013-12-06,990.0,1130.0,848.42,1132.82,61095.72403188001
2013-12-07,546.0,977.0,542.38,1016.0,81635.16563809999
2013-12-08,744.87,546.0,542.38,830.0,51793.05509412
2013-12-09,885.0,742.0,702.11,899.9,29600.37403159
2013-12-10,928.0,885.0,851.45,949.0,26268.062144470005
2013-12-11,942.73,926.06,907.5,989.6,20724.92331199
2013-12-12,863.0,942.73,804.0,949.99,29259.63785325
2013-12-13,895.0,862.7,840.0,912.42,15096.516569700005
2013-12-14,869.9,893.0,850.0,920.42,11251.227390149998
2013-12-15,820.0,869.9,803.51,886.0,10855.08646462
2013-12-16,841.76,820.0,815.01,869.98,7974.953529450001
2013-12-17,723.83,842.51,612.51,851.48,79288.50081701
2013-12-18,539.94,717.0,509.0,739.89,51711.24218582
2013-12-19,559.0,525.01,382.21,624.91,120008.10184581
2013-12-20,711.0,556.64,555.1,719.97,53840.60986971999
2013-12-21,595.54,711.0,550.0,714.9,39826.65868356
2013-12-22,620.0,595.54,567.0,627.74,14197.10149451
2013-12-23,636.99,620.0,607.77,690.0,17773.966054800007
2013-12-24,649.92,636.99,618.29,668.8,12442.38662998
2013-12-25,646.98,649.92,628.11,658.0,10277.964666230002
2013-12-26,709.0,645.46,645.46,718.0,13001.070956949998
2013-12-27,708.06,709.0,700.92,764.32,26605.501710370005
2013-12-28,724.9,705.0,702.26,743.99,14162.755963390002
2013-12-29,715.0,721.43,682.22,734.94,11010.755109340005
2013-12-30,732.01,714.99,703.45,739.99,8766.508701049997
2013-12-31,719.5,732.01,709.0,740.0,7143.216331910003
2014-01-01,744.73,719.5,718.6,757.99,8989.905164540003
2014-01-02,743.65,745.4,735.2,754.98,5576.782528190001
2014-01-03,784.49,743.81,743.81,798.7,16544.09319041
2014-01-04,803.54,783.6,783.6,818.99,14613.2839699
2014-01-05,834.72,803.54,800.0,841.88,12500.87431339
2014-01-06,965.0,834.72,834.72,976.5,26791.55733934
2014-01-07,914.78,965.0,876.0,995.0,22718.09375383001
2014-01-08,801.03,914.78,765.0,918.62,40382.304400419984
2014-01-09,835.2,801.48,780.0,849.79,20846.620491269994
2014-01-10,813.99,835.2,779.78,848.0,24258.39811799
2014-01-11,860.27,813.99,813.56,878.8,13306.1382061
2014-01-12,875.0,860.27,860.02,909.96,14657.821536349995
2014-01-13,820.91,875.0,811.07,880.0,14188.15887212
2014-01-14,826.28,821.41,783.11,834.99,17953.46523273
2014-01-15,834.89,826.46,800.0,840.0,9906.02631743
2014-01-16,843.5,833.04,822.05,850.26,10231.18537766
2014-01-17,813.52,843.5,798.02,848.0,11330.37164679
2014-01-18,805.79,813.52,765.0,819.52,14877.30437886
2014-01-19,804.75,805.87,791.01,817.12,4925.90520936
2014-01-20,835.51,804.73,801.0,845.0,8882.11679124
2014-01-21,820.12,836.76,815.0,839.74,7117.94976314
2014-01-22,820.13,820.12,814.0,824.99,6610.482686880003
2014-01-23,816.29,820.9,801.0,823.28,8466.537201809999
2014-01-24,769.84,815.31,767.02,820.9,12847.94431833
2014-01-25,794.99,769.84,769.84,797.24,12082.20602904
2014-01-26,806.01,794.93,786.0,817.0,6221.901979719997
2014-01-27,816.3,806.01,795.11,834.0,10206.419622330002
2014-01-28,767.3,816.5,725.0,821.27,30222.28276917
2014-01-29,790.11,767.2,751.21,812.93,15965.94724836
2014-01-30,781.99,790.11,781.99,804.95,6783.937795430002
2014-01-31,804.59,781.99,770.7,812.44,13964.534745750005
2014-02-01,806.51,804.59,793.0,809.98,5922.826892349999
2014-02-02,823.01,806.51,803.04,827.38,8425.916067510001
2014-02-03,802.35,823.01,801.01,825.21,5044.25758126
2014-02-04,805.94,802.07,800.01,814.0,5137.747150179999
2014-02-05,804.83,805.94,796.83,812.98,6380.746427109999
2014-02-06,772.23,804.97,757.0,810.0,14907.61319997
2014-02-07,685.0,772.23,662.0,803.0,40788.20947223
2014-02-08,714.81,684.89,619.0,749.99,43152.38570479
2014-02-09,689.74,714.81,662.01,723.0,12588.47590502
2014-02-10,690.95,689.74,684.0,755.42,16307.453996339998
2014-02-11,708.0,692.41,530.0,720.0,74744.18037172999
2014-02-12,651.44,708.0,631.0,715.0,39178.37728171
2014-02-13,651.91,651.44,636.22,676.0,12467.59391129
2014-02-14,575.0,651.91,538.01,655.0,51795.55224809
2014-02-15,642.28,569.9,567.16,712.9,48145.02649195001
2014-02-16,648.0,642.28,635.0,673.01,17346.483967019998
2014-02-17,622.99,648.0,590.01,656.59,27789.06538826001
2014-02-18,634.85,622.22,610.2,664.99,17948.194126599996
2014-02-19,625.17,634.84,609.99,643.0,13879.996666760002
2014-02-20,610.75,625.17,592.51,636.0,16922.38539847
2014-02-21,574.65,610.8,530.01,617.5,43258.65502039
2014-02-22,564.0,573.73,555.0,589.0,15605.457164459995
2014-02-23,622.04,564.0,562.52,626.37,21661.77164726
2014-02-24,566.0,622.04,551.0,646.0,37944.82224118
2014-02-25,477.0,565.98,400.0,578.5,95514.47128665
2014-02-26,592.73,480.15,432.17,609.13,70631.87814502
2014-02-27,573.99,592.73,555.62,610.0,32905.56931348
2014-02-28,574.66,573.99,571.33,599.99,15607.1252675
2014-03-01,554.07,574.99,535.0,579.54,26745.720048180006
2014-03-02,566.0,555.0,555.0,576.0,7422.799042719998
2014-03-03,575.99,566.0,553.0,577.8,12341.50106078
2014-03-04,674.45,576.0,575.02,710.0,69216.21888183
2014-03-05,662.16,674.45,633.64,699.89,21127.37134519
2014-03-06,667.0,662.2,651.9,678.34,10857.49697856
2014-03-07,656.69,667.1,650.0,672.97,9943.69458208
